Data_Source;Departure_city;Arrival_city;Nb_bus_taken;Nb_train_taken;Nb_car_taken;Nb_plane_taken;Duration;Price_min;Price_max
Rome2rio;Paris;Berlin;0;0;0;1;285;47;224
Rome2rio;Paris;Berlin;0;0;0;1;281;49;277
Rome2rio;Paris;Berlin;0;0;0;1;293;57;326
Rome2rio;Paris;Berlin;0;0;0;1;438;74;389
Rome2rio;Paris;Berlin;0;1;0;1;339;117;348
Rome2rio;Paris;Berlin;0;1;0;0;509;187;277
Rome2rio;Paris;Berlin;0;1;0;0;743;90;140
Rome2rio;Paris;Berlin;1;0;0;0;855;45;65
Rome2rio;Paris;Berlin;1;0;0;0;989;37;45
Rome2rio;Paris;Berlin;0;0;1;0;576;120;190
Rome2rio;Paris;Rome;0;0;0;1;311;59;288
Rome2rio;Paris;Rome;0;0;0;1;325;67;305
Rome2rio;Paris;Rome;0;2;0;1;402;35;264
Rome2rio;Paris;Rome;0;1;0;1;385;83;417
Rome2rio;Paris;Rome;0;1;0;0;621;155;295
Rome2rio;Paris;Rome;1;0;0;0;1220;65;80
Rome2rio;Paris;Rome;0;2;0;0;844;118;236
Rome2rio;Paris;Rome;0;0;1;0;810;190;280
Rome2rio;Paris;Rome;0;1;1;0;1340;186;315
Rome2rio;Paris;Madrid;0;0;0;1;303;47;243
Rome2rio;Paris;Madrid;0;0;0;1;327;45;260
Rome2rio;Paris;Madrid;0;1;0;1;397;40;410
Rome2rio;Paris;Madrid;0;1;0;0;599;213;369
Rome2rio;Paris;Madrid;0;1;0;0;844;155;203
Rome2rio;Paris;Madrid;1;0;0;0;965;55;140
Rome2rio;Paris;Madrid;0;0;1;0;872;80;80
Rome2rio;Paris;Madrid;0;0;1;0;721;150;220
Rome2rio;Paris;London;0;1;0;0;146;£100 ; £300
Rome2rio;Paris;London;1;0;0;0;450;£13 ; £35
Rome2rio;Paris;London;0;0;1;0;355;£30 ; £32
Rome2rio;Paris;London;0;0;1;0;393;£41 ; £105
Rome2rio;Paris;London;0;0;1;0;270;£171 ; £189
Rome2rio;Paris;London;0;0;0;1;252;£59 ; £234
Rome2rio;Paris;London;0;1;0;1;260;£48 ; £222
Rome2rio;Paris;London;0;1;0;1;294;£57 ; £202
Rome2rio;Paris;London;0;1;0;1;323;£79 ; £294
Rome2rio;Paris;London;0;1;0;1;323;£84 ; £439
Rome2rio;Paris;Dublin;0;0;0;1;284;65;225
